Seed,GeneratorSeed,ActualEntryRate,ActualBlockRate,ActualSliceRate,ActualTotalRate,NumBlocks,NumSlices,NumTotal,ProtocolPass,DisjointPass
20280001,20284001,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,2787,10,1667894,1,1
20280002,20284002,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,2861,10,1667894,1,1
20280003,20284003,0.0499999407425668,0.100031287924757,0.0970873786407767,0.247118607308101,2816,10,1668102,1,1
20280004,20284004,0.0499999407425668,0.100038398816748,0.0970873786407767,0.247125718200091,2795,10,1668150,1,1
20280005,20284005,0.0499999407425668,0.100002844356796,0.0970873786407767,0.24709016374014,2748,10,1667910,1,1
20280006,20284006,0.0499999407425668,0.100024177032767,0.0970873786407767,0.24711149641611,2861,10,1668054,1,1
20280007,20284007,0.0499999407425668,0.100040769114078,0.0970873786407767,0.247128088497421,2805,10,1668166,1,1
20280008,20284008,0.0499999407425668,0.100036028519417,0.0970873786407767,0.247123347902761,2746,10,1668134,1,1
20280009,20284009,0.0499999407425668,0.100012325546116,0.0970873786407767,0.24709964492946,2728,10,1667974,1,1
20280010,20284010,0.0499999407425668,0.100052620600728,0.0970873786407767,0.247139939984072,2807,10,1668246,1,1
