Seed,GeneratorSeed,Rank,Budget,IsPrimarySetting,ActualEntryRate,ActualBlockRate,ActualSliceRate,ActualTotalRate,NRE,MPSNR,MSSIM,SAMdeg,DetectionPrecision,DetectionRecall,DetectionF1,MaskPrecision,MaskRecall,MaskF1,LevelMacroF1,LevelF1Entry,LevelF1Block,LevelF1Slice,SelectedFraction,rESS,Iterations,FinalRelChange,ToleranceMet,MaskAgreementToBudget80,SelectedFractionDiffToBudget80,rESSDiffToBudget80,OutOfRangeFraction,RuntimeSec
20280001,20284001,25,80,1,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.373211452683271,26.6442779168453,0.704113454413634,19.4893625122401,0.954079422300029,0.999526348796746,0.976274267349528,0.978665486827443,0.999961028698466,0.989198658039353,0.955340839795008,0.885320485650977,0.981281440296532,0.999420593437514,0.252464368505385,0.748040392861288,80,0.00255324143600283,0,1,0,0,0.0247075349381826,217.8254862
20280001,20284001,25,160,0,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.444674726132303,26.9853601647122,0.7178752857168,23.0421372662842,0.954892252028335,0.99876970598851,0.976338255341944,0.978665486827443,0.999961028698466,0.989198658039353,0.955565491249148,0.886632248498458,0.981608507012782,0.998455718236203,0.252464368505385,0.748040392861288,160,0.00138534632558473,0,1,0,0,0.0286121553587682,399.4542044
20280001,20284001,25,320,0,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.521537463467025,27.2755265335459,0.728707653193132,26.5813827273634,0.95571908467082,0.997867370468387,0.976338556625556,0.978665486827443,0.999961028698466,0.989198658039353,0.955792063462155,0.888145842692398,0.981932330882407,0.99729801681166,0.252464368505385,0.748040392861288,320,0.000775903490416705,0,1,0,0,0.0321918969015473,770.8801951
20280001,20284001,30,80,0,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.344067459194392,27.006465165669,0.726041175521982,18.2725683407068,0.960133290185425,0.999720006187444,0.979526845791346,0.979078925585387,0.999922656955418,0.989391023511433,0.959636230930205,0.895884243500902,0.983356438131835,0.999668011157878,0.252348075792627,0.748156453013314,80,0.00256192396279289,0,1,0,0,0.0238502280226032,201.1234105
20280001,20284001,30,160,0,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.411590043020528,27.2871882835326,0.738665815680338,21.6231899076169,0.961135679945372,0.999174407965974,0.979785983765056,0.979078925585387,0.999922656955418,0.989391023511433,0.960035066813041,0.897253112821975,0.983876237233111,0.998975850384037,0.252348075792627,0.748156453013314,160,0.00134178249110655,0,1,0,0,0.027768773940003,380.40212
20280001,20284001,30,320,0,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.485092284497826,27.6091636658563,0.749613219799923,24.9576398125197,0.961813226322346,0.998441147938658,0.979784985460263,0.979078925585387,0.999922656955418,0.989391023511433,0.960221961487988,0.898405505362781,0.984225751547287,0.998034627553895,0.252348075792627,0.748156453013314,320,0.000765875911744794,0,1,0,0,0.0310514875986044,764.4704462
20280001,20284001,61,80,0,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,0.990601809185128,13.9645772935242,0.256252231849417,42.0170455701789,0.945897378258883,0.860304671639804,0.90107298178917,0.93863155858794,0.843792231400796,0.888688786283682,0.85525348813519,0.686522386666116,0.915363169733974,0.96387490800548,0.222122044239229,0.778322041027056,80,0.00212946770911021,0,1,0,0,0.120824128678701,194.1223914
20280001,20284001,61,160,0,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,1.00620069218596,13.8514104009638,0.256569110163858,42.2376921754028,0.947622569940871,0.857969391340217,0.900570202999316,0.93863155858794,0.843792231400796,0.888688786283682,0.854730007676473,0.688202074765208,0.91345968081636,0.962528267447852,0.222122044239229,0.778322041027056,160,0.0011178200007796,0,1,0,0,0.121434924671951,386.2770167
20280001,20284001,61,320,0,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,1.01925482741386,13.7584726243644,0.256693959992617,42.4213058635705,0.948512867633634,0.85657122095289,0.900200528336245,0.93863155858794,0.843792231400796,0.888688786283682,0.854318169907422,0.689212369525524,0.912054628908326,0.961687511288416,0.222122044239229,0.778322041027056,320,0.000597808134665612,0,1,0,0,0.122083645422482,772.1434293
20280001,20284001,105,80,0,0.0499999407425668,0.100000474059466,0.0970873786407767,0.247087793442809,1.92475998663973,8.335871156716,0.0872436366405412,63.8295259395784,0.603255599600426,0.444987511196755,0.512173569502502,0.594997664001301,0.465009167249238,0.522033179590127,0.413689627681111,0.15697979642013,0.288918473160587,0.795170613462614,0.193106790190762,0.807279276405015,80,0.00126787772549456,0,1,0,0,0.22199197417324,199.7411959
