Scenario,N,EntryRate_Mean,EntryRate_Std,BlockRate_Mean,BlockRate_Std,SliceRate_Mean,SliceRate_Std,TotalRate_Mean,TotalRate_Std,AllProtocolPass,AllDisjointPass
Entry,10,0.0499999407425668,0,0,0,0,0,0.0499999407425668,0,1,1
Block,10,0,0,0.100025362181432,1.56132060684117e-05,0,0,0.100025362181432,1.56132060684117e-05,1,1
Slice,10,0,0,0,0,0.0970873786407767,1.46284727857363e-17,0.0970873786407767,1.46284727857363e-17,1,1
Mixed,10,0.0499999407425668,0,0.100023940003034,1.88451474345549e-05,0.0970873786407767,1.46284727857363e-17,0.247111259386377,1.88451474345582e-05,1,1
