Dataset,Height,Width,Frames,Rank,SelectedFraction,rESS,Iterations,FinalRelChange,ToleranceMet,HasAnnotation,HasSegmentationGT,SpatialAlignmentVerified,FrameIndexAlignmentVerified,HasCleanReference,ValidReconstructionReference,GroundTruthType,PSNR,SSIM,AGE,ReconstructionMetricsStatus
SBI_Board,164,200,228,4,0.107123983739837,0.893090169930305,52,9.64911715132649e-06,1,1,1,1,1,0,0,foreground_segmentation_mask,NaN,NaN,NaN,not_applicable_no_valid_clean_background_reference
SBI_CAVIAR1,256,384,610,3,0.139641433465676,0.860637732379162,80,5.72986762049855e-05,0,1,1,1,1,0,0,foreground_segmentation_mask,NaN,NaN,NaN,not_applicable_no_valid_clean_background_reference
SBI_Hall_Monitor,240,352,296,7,0.187578940801597,0.812796072724355,80,0.000161628241423249,0,0,0,0,0,0,0,none,NaN,NaN,NaN,not_applicable_no_valid_clean_background_reference
SBI_People_Foliage,240,320,341,15,0.146451154692082,0.853841626243867,80,4.35723696493605e-05,0,0,0,0,0,0,0,none,NaN,NaN,NaN,not_applicable_no_valid_clean_background_reference
