Rank,TotalUpdate,N,ObjectiveNormMean,ObjectiveNormSD,NREMean,NRESD,RelativeUpdateMean,RelativeUpdateSD,RankBoundMean,RankBoundSD
25,10,10,1,0,0.261720057023105,0.0039141676764371,NaN,NaN,NaN,NaN
25,11,10,0.846736940954925,0.0095983700347522,0.244116039073477,0.00256335691270581,0.0546849248936368,0.00256638483626105,0.00969067698944211,0.000458950162887703
25,12,10,0.780540618377558,0.0117422064907001,0.236670395718532,0.0020296390595086,0.0360004269475796,0.00110799927892991,0.00636439481934705,0.000196899127632863
25,13,10,0.739502797379663,0.0126721902106777,0.233680931543867,0.00172978576984109,0.0283537586690664,0.000764822748860374,0.00500719811191305,0.000135426449357649
25,14,10,0.710427127330997,0.0132582252066416,0.23319325314503,0.0015265751908069,0.0236981857303484,0.000628060562912995,0.00418248764151365,0.000110970824443786
25,15,10,0.6882444021072,0.0136809161831727,0.234214896645567,0.00138004625137071,0.0204370402070198,0.000518242223644103,0.00360559400027902,9.1464891714233e-05
25,16,10,0.670523331821744,0.0139800766632129,0.236176009957613,0.00128404517703967,0.0179881188783685,0.000411231592242379,0.00317280409474698,7.25413328567594e-05
25,17,10,0.655935700690486,0.0141756790962563,0.238727732894734,0.0012392500003896,0.0160675809985387,0.00032728859327375,0.00283362757563698,5.77277427563017e-05
25,18,10,0.643671154989178,0.0142921132354913,0.241647245296409,0.00124151982675784,0.014520134049815,0.000286364478652933,0.00256047505431426,5.05138157434368e-05
25,19,10,0.63319299216173,0.0143559373601113,0.244788431830857,0.00128051315414318,0.013247874188443,0.000282248525335019,0.0023359783223579,4.97856101076776e-05
25,20,10,0.624124907385285,0.0143890962567583,0.248053834058086,0.00134369969143313,0.0121842550310051,0.000291890911084054,0.00214834711473403,5.14769228808017e-05
25,21,10,0.616191986531195,0.014406394444469,0.251377708861066,0.0014203714107898,0.0112827279898005,0.000300664815649252,0.00198934211864078,5.30133351319693e-05
25,22,10,0.609186990572789,0.0144171348235525,0.254715451974758,0.00150318944952234,0.0105100113914975,0.000304630042851859,0.00185307653753973,5.37028347403504e-05
25,23,10,0.602950014512128,0.0144269373358374,0.258036836645775,0.0015878773092078,0.00984135720905467,0.000303938071527017,0.00173517564076489,5.35729879080482e-05
25,24,10,0.597355485987183,0.014438885630227,0.261321565717605,0.00167231804738251,0.00925787765220165,0.000299604957954029,0.00163230229554639,5.28029875224431e-05
25,25,10,0.592303395723373,0.0144543425607232,0.264556271553986,0.00175570285509301,0.00874495518459652,0.000292553574245928,0.00154187491013538,5.15553168100529e-05
25,26,10,0.587713151183759,0.0144735960064828,0.267732452504284,0.00183791245409251,0.0082911173648922,0.000283515221320302,0.00146186805306811,4.99586210958764e-05
25,27,10,0.583519144164637,0.0144963516805117,0.270845031233176,0.00191912637096227,0.00788721880607518,0.000273136576019762,0.00139066761310623,4.81266446899193e-05
25,28,10,0.57966748886973,0.0145220635610733,0.273891336239121,0.00199960248385335,0.00752585049977758,0.000262015427016663,0.00132696627333797,4.61645542673146e-05
25,29,10,0.576113584940038,0.0145501217106301,0.276870376898801,0.00207956831255881,0.0072009166363765,0.00025065612886457,0.00126968865752137,4.41610852178457e-05
25,30,10,0.572820269425626,0.0145799402296088,0.279782324632617,0.00215917916943282,0.00690733687393484,0.000239426371009297,0.00121793868434081,4.21809143292229e-05
25,31,10,0.569756390514711,0.0146109889028186,0.282628140207536,0.00223851233527163,0.00664084126051609,0.000228559784263875,0.00117096331447173,4.02651144897269e-05
25,32,10,0.566895686381976,0.0146427999601023,0.285409305766347,0.00231757765934413,0.00639782792581205,0.00021819269681204,0.00112812740014391,3.8437630973231e-05
25,33,10,0.564215890967937,0.0146749671259417,0.288127632778521,0.00239633338228609,0.00617525739279007,0.000208404592362883,0.00108889501320227,3.67124102321899e-05
25,34,10,0.561698015254643,0.0147071435543043,0.29078512547817,0.00247470171733731,0.00597056538932759,0.000199243854819011,0.00105281404851875,3.50979341048241e-05
25,35,10,0.559325768690485,0.014739039696633,0.29338388488153,0.00255258210509489,0.00578158580317188,0.00019073767598863,0.00101950262431665,3.35989617858327e-05
25,36,10,0.557085093960062,0.0147704204319594,0.295926042279414,0.00262986171083867,0.00560648241583373,0.000182893438125288,0.000988637035803509,3.22167692869046e-05
25,37,10,0.554963792981778,0.0148011009601888,0.29841371391061,0.0027064233784489,0.00544369054399316,0.000175698636957892,0.000959941459222883,3.09491325286256e-05
25,38,10,0.552951225435292,0.0148309415608297,0.30084897070557,0.00278215142880328,0.00529186914791853,0.000169122864769045,0.000933179503775251,2.97906747126783e-05
25,39,10,0.551038064363553,0.0148598416916377,0.303233818689457,0.00285693569217509,0.00514986255528145,0.000163122270464949,0.000908147460460848,2.87336513730435e-05
25,40,10,0.549216096552413,0.014887733954503,0.305570186914706,0.00293067412272781,0.00501667005283819,0.000157645333203697,0.00088466893919334,2.77689677281332e-05
25,41,10,0.547478058203359,0.0149145783276683,0.307859920718157,0.00300327430161003,0.00489142151058291,0.000152638486656138,0.00086259057021651,2.68871701051612e-05
25,42,10,0.545817498677864,0.0149403568992471,0.310104778743766,0.00307465410198024,0.00477335759589832,0.000148050540193553,0.000841778515254178,2.60792253955959e-05
25,43,10,0.544228666789224,0.0149650692090543,0.312306432617463,0.00314474176125261,0.00466181357766834,0.000143835454236266,0.000822115611911277,2.53370103078771e-05
25,44,10,0.542706415363817,0.0149887282230307,0.31446646847044,0.00321347557587033,0.00455620599151452,0.000139953537690435,0.000803499022709331,2.46535223275864e-05
25,45,10,0.541246120727235,0.0150113569127721,0.316586389725162,0.00328080339584851,0.00445602155583004,0.000136371438384614,0.000785838281066225,2.4022877792171e-05
25,46,10,0.539843614488639,0.0150329853814863,0.318667620712308,0.00334668204906771,0.00436080780866361,0.000133061396658491,0.000769053640724899,2.34401800197747e-05
25,47,10,0.538495125549169,0.0150536484651913,0.320711510795713,0.00341107677411522,0.00427016505142228,0.000130000180940984,0.000753074655593735,2.29013313831586e-05
25,48,10,0.537197230674781,0.0150733837433102,0.322719338760649,0.00347396069431122,0.00418373932976465,0.000127167997104773,0.000737838942439502,2.24028408006622e-05
25,49,10,0.535946812277969,0.0150922299103825,0.324692317280111,0.00353531433225611,0.00410121630594342,0.000124547531780769,0.000723291100730518,2.19416548945467e-05
25,50,10,0.534741022278524,0.0151102254806504,0.326631597321904,0.00359512514694101,0.0040223159438491,0.000122123195011987,0.000709381775747375,2.15150243418604e-05
25,51,10,0.53357725109142,0.0151274078107515,0.328538272399811,0.00365338707219076,0.0039467879389618,0.000119880574480764,0.000696066853012583,2.11204075697648e-05
25,52,10,0.532453100940698,0.0151438124283141,0.330413382605966,0.00371010004090502,0.00387440780776872,0.000117806086470369,0.000683306768977906,2.07554091734764e-05
25,53,10,0.531366362830875,0.0151594726470296,0.332257918388217,0.0037652694887674,0.00380497353468184,0.000115886792299927,0.000671065919993028,2.04177475386445e-05
25,54,10,0.530314996622683,0.0151744194363563,0.334072824055948,0.00381890583975474,0.00373830267476012,0.000114110337323474,0.000659312151625528,2.01052440946599e-05
25,55,10,0.529297113756073,0.0151886815016586,0.335859001011163,0.00387102398178378,0.0036742298273734,0.000112464963939559,0.000648016313369514,1.98158256290608e-05
25,56,10,0.528310962239849,0.0152022855221391,0.337617310710097,0.00392164274368401,0.00361260442037245,0.000110939552566962,0.0006371518680875,1.95475315358965e-05
25,57,10,0.527354913586084,0.0152152564910803,0.339348577365806,0.00397078438485848,0.00355328876682214,0.000109523654661866,0.000626694549496345,1.92985196569478e-05
25,58,10,0.526427451412576,0.0152276181054524,0.341053590405269,0.0040184741073488,0.00349615637141816,0.000108207496409992,0.000616622063664392,1.90670669441881e-05
25,59,10,0.52552716147245,0.0152393931585679,0.342733106696603,0.00406473959743489,0.0034410904704976,0.000106981946724952,0.00060691383168416,1.88515638189291e-05
25,60,10,0.524652722900161,0.015250603898529,0.344387852563271,0.00410961060107912,0.00338798279019243,0.00010583845541257,0.000597550770797629,1.86505032613844e-05
25,61,10,0.52380290049018,0.0152612723252676,0.346018525603082,0.00415311853496068,0.00333673250477127,0.000104768975073054,0.000588515110809406,1.84624670255789e-05
25,62,10,0.522976537849578,0.015271420408962,0.347625796330218,0.00419529613281683,0.0032872453740593,0.00010376588313884,0.000579790242066567,1.82861118734396e-05
25,63,10,0.522172551289078,0.0152810702218478,0.349210309658579,0.00423617712543582,0.00323943303648597,0.000102821919003318,0.000571360590871205,1.81201584675782e-05
25,64,10,0.5213899243387,0.0152902439835063,0.350772686244357,0.00427579595191516,0.0031932124333456,0.00010193014668899,0.000563211518021502,1.79633847672732e-05
25,65,10,0.520627702793611,0.0152989640263688,0.352313523705012,0.00431418749961176,0.00314850534027859,0.00010108394740708,0.000555329236251631,1.78146246966117e-05
25,66,10,0.51988499021308,0.0153072526932628,0.353833397730757,0.00435138687042041,0.00310523798357571,0.000100277040159478,0.000547700742621955,1.7672771759698e-05
25,67,10,0.519160943810149,0.0153151321822596,0.355332863103305,0.00438742917145081,0.00306334072140592,9.95035234822182e-05,0.000540313762351401,1.75367863864872e-05
25,68,10,0.518454770682043,0.0153226243558783,0.356812454635127,0.00442234932867795,0.00302274777318853,9.87579283527418e-05,0.000533156701134056,1.74057052498261e-05
25,69,10,0.517765724341244,0.01532975053195,0.358272688040823,0.00445618192259292,0.00298339698376724,9.80352714649919e-05,0.000526218603588061,1.72786506497061e-05
25,70,10,0.517093101515008,0.0153365312723669,0.35971406075055,0.00448896104519998,0.0029452296124675,9.73310992785371e-05,0.000519489116088452,1.71548382726217e-05
25,71,10,0.516436239187051,0.0153429861838224,0.361137052673828,0.00452072017786209,0.00290819014021635,9.66415158620613e-05,0.000512958452781906,1.70335820948801e-05
25,72,10,0.515794511859502,0.0153491337418387,0.362542126920544,0.00455149208949445,0.00287222609044338,9.59631908152882e-05,0.00050661736402894,1.69142957743153e-05
25,73,10,0.515167329016475,0.0153549911462386,0.363929730484616,0.0045813087544802,0.00283728786135452,9.52933467664224e-05,0.00050045710684939,1.67964904415184e-05
25,74,10,0.514554132772897,0.0153605742130681,0.365300294894615,0.00461020128947605,0.00280332856839674,9.46297285959971e-05,0.000494469417163144,1.66797692697702e-05
25,75,10,0.513954395693984,0.0153658973050863,0.366654236834717,0.00463819990804074,0.0027703038964227,9.39705583673422e-05,0.000488646483739839,1.65638195254849e-05
25,76,10,0.513367618772029,0.0153709733004787,0.367991958738572,0.00466533389179175,0.00273817196136579,9.33144808890657e-05,0.000482980923824309,1.64484029676762e-05
25,77,10,0.512793329548244,0.0153758135975279,0.369313849358138,0.00469163157660978,0.00270689318128461,9.26605049842524e-05,0.000477465760413114,1.63333454912952e-05
25,78,10,0.512231080368293,0.0153804281516026,0.370620284309112,0.004717120352283,0.00267643015653331,9.20079450628034e-05,0.000472094401139271,1.62185268249213e-05
25,79,10,0.511680446760997,0.0153848255399592,0.371911626594305,0.00474182667391875,0.00264674755862765,9.13563666858458e-05,0.000466860618689458,1.61038709332549e-05
25,80,10,0.511141025930474,0.0153890130494236,0.373188227106159,0.00476577608344885,0.00261781202715222,9.07055386761203e-05,0.000461758532638282,1.59893375746828e-05
25,81,10,0.510612435352807,0.0153929967819214,0.374450425109439,0.00478899323960169,0.00258959207382677,9.00553931458355e-05,0.000456782592544135,1.58749152556724e-05
25,82,10,0.510094311469108,0.015396781772976,0.375698548705111,0.00481150195479864,0.00256205799265716,8.94059937351025e-05,0.000451927562117153,1.57606156335679e-05
25,83,10,0.509586308467672,0.0154003721185983,0.376932915276325,0.00483332523753787,0.00253518177497084,8.87575114889057e-05,0.000447188504247706,1.56464692668086e-05
25,84,10,0.509088097148688,0.0154037711064041,0.37815383191737,0.00485448533893847,0.00250893702810591,8.8110207211147e-05,0.000442560766678322,1.55325225076245e-05
25,85,10,0.508599363865734,0.0154069813472584,0.379361595846402,0.00487500380222834,0.00248329889659677,8.74644188322808e-05,0.000438039968115051,1.54188352790241e-05
25,86,10,0.508119809538938,0.0154100049042535,0.380556494802671,0.00489490151405742,0.0024582439848708,8.68205522827265e-05,0.000433621984604494,1.53054794700509e-05
25,87,10,0.507649148735302,0.01541284341634,0.38173880742887,0.00491419875660842,0.00243375028071444,8.61790745117509e-05,0.000429302936045698,1.51925377093069e-05
25,88,10,0.507187108812173,0.0154154982144563,0.38290880363913,0.00493291525955868,0.00240979707904608,8.55405075529242e-05,0.000425079172755415,1.50801023228412e-05
25,89,10,0.506733429120233,0.0154179704285088,0.384066744973103,0.00495107025102548,0.00238636490580889,8.49054228330331e-05,0.000420947262053768,1.49682743346567e-05
25,90,10,0.506287860262692,0.0154202610840427,0.385212884936462,0.0049686825067073,0.00236343544203506,8.42744351903933e-05,0.000416903974879458,1.48571624155543e-05
25,91,10,0.505850163407598,0.0154223711878809,0.386347469328074,0.00498577039651952,0.0023409914483134,8.3648196273342e-05,0.000412946272475448,1.47468817221671e-05
25,92,10,0.505420109650333,0.0154243018023919,0.387470736554044,0.00500235192811733,0.00231901669000694,8.30273871207251e-05,0.000409071293206314,1.46375525911578e-05
25,93,10,0.504997479423491,0.0154260541083638,0.388582917928775,0.00501844478680045,0.00229749586362286,8.2412709794798e-05,0.000405276339578227,1.45292990656845e-05
25,94,10,0.504582061951449,0.0154276294566998,0.389684237963159,0.0050340663714041,0.00227641452474724,8.18048779679746e-05,0.000401558865534379,1.44222472367245e-05
25,95,10,0.504173654746989,0.0154290294093295,0.390774914640009,0.00504923382589224,0.0022557590179409,8.12046063887484e-05,0.000397916464095775,1.43165233860931e-05
25,96,10,0.503772063147424,0.0154302557698423,0.391855159676842,0.00506396406647995,0.00223551640896666,8.06125991911753e-05,0.000394346855412733,1.42122519249103e-05
25,97,10,0.503377099887719,0.0154313106044219,0.392925178776143,0.00507827380421792,0.00221567441969551,8.00295370835578e-05,0.000390847875288407,1.41095531338474e-05
25,98,10,0.502988584708161,0.0154321962537029,0.39398517186326,0.00509217956306949,0.00219622136602656,7.94560635559587e-05,0.000387417464233457,1.40085407298628e-05
25,99,10,0.502606343994175,0.0154329153361996,0.395035333312124,0.00510569769359529,0.00217714609915317,7.8892770376845e-05,0.000384053657110503,1.3909319307177e-05
25,100,10,0.502230210445894,0.0154334707439826,0.396075852159031,0.00511884438243553,0.00215843795051228,7.83401827896399e-05,0.00038075457342787,1.38119817250321e-05
25,101,10,0.501860022775134,0.0154338656313203,0.397106912304757,0.00513163565783955,0.00214008668075667,7.77987449503694e-05,0.000377518408342551,1.37166065377835e-05
25,102,10,0.501495625427447,0.0154341033970404,0.398128692705348,0.00514408739154233,0.00212208243308382,7.72688062499862e-05,0.000374343424431319,1.36232555809194e-05
25,103,10,0.501136868326928,0.015434187661432,0.399141367551967,0.00515621529732545,0.00210441569123137,7.6750609220086e-05,0.000371227944284661,1.35319718363364e-05
25,104,10,0.500783606641492,0.0154341222385648,0.400145106440239,0.00516803492663074,0.00208707724240248,7.62442797209432e-05,0.000368170343970042,1.34427777002135e-05
25,105,10,0.50043570056637,0.0154339111049681,0.401140074529593,0.00517956166161668,0.00207005814531237,7.57498200483747e-05,0.000365169047398266,1.33556737658191e-05
25,106,10,0.500093015123642,0.015433558365661,0.402126432693132,0.00519081070606345,0.00205334970345033,7.5267105476263e-05,0.000362222521609586,1.32706382124597e-05
25,107,10,0.499755419975685,0.0154330682185542,0.403104337658636,0.00520179707454268,0.00203694344353432,7.47958845823296e-05,0.000359329272975553,1.3187626861917e-05
25,108,10,0.499422789250557,0.0154324449182537,0.404073942141307,0.00521253558027175,0.00202083109900415,7.43357834996807e-05,0.000356487844289492,1.31065739275451e-05
25,109,10,0.499095001377452,0.0154316927402608,0.405035394968922,0.00522304082206969,0.00200500459826482,7.38863140157269e-05,0.000353696812694705,1.30273934422139e-05
25,110,10,0.49877193893053,0.015430815946507,0.405988841200041,0.00523332717082264,0.00198945605726282,7.34468852203776e-05,0.000350954788376872,1.29499813125313e-05
25,111,10,0.498453488479642,0.0154298187530581,0.406934422235965,0.00524340875585021,0.00197417777586592,7.30168182087325e-05,0.000348260413927241,1.28742179120704e-05
25,112,10,0.49813954044665,0.0154287053007021,0.407872275927084,0.00525329945153911,0.00195916223742994,7.25953631833884e-05,0.000345612364267898,1.27999710980833e-05
25,113,10,0.49782998896628,0.0154274796289793,0.408802536674268,0.0052630128645793,0.00194440211088016,7.21817181937573e-05,0.000343009347020495,1.2727099517172e-05
25,114,10,0.49752473175067,0.0154261456540562,0.409725335525898,0.00527256232209865,0.00192989025461393,7.17750486972373e-05,0.000340450103196169,1.26554560561109e-05
25,115,10,0.497223669956982,0.0154247071506746,0.410640800271107,0.00528196086094816,0.00191561972154484,7.13745071332814e-05,0.000337933408086736,1.25848912951057e-05
25,116,10,0.496926708057656,0.0154231677382471,0.411549055529743,0.00529122121834121,0.00190158376465286,7.09792517590482e-05,0.000335458072245074,1.25152568309321e-05
25,117,10,0.49663375371307,0.0154215308710286,0.4124502228395,0.00530035582399995,0.00188777584247591,7.05884640956569e-05,0.000333022942455112,1.24464083550981e-05
