Seed,GeneratorSeed,Rank,ActualContamination,SelectedFraction,FinalTotalUpdate,ToleranceMet,ObjectiveAtWarmEnd,ObjectiveFinal,ObjectiveFinalRatio,ObjectiveMonotoneFraction,BestNRE,BestNREUpdate,FinalNRE,FinalRelativeUpdate,FinalRankFeasibilityBound,WarmRuntimeSec,RecoveryRuntimeSec
20280001,20284001,25,0.247087793442809,0.252464368505385,320,0,4431.27747343499,2059.18831763109,0.464694059438999,1,0.234274454692193,14,0.521537463467025,0.000775903490416705,0.00013690282445764,28.4982392,490.339348
20280001,20284001,30,0.247087793442809,0.252348075792627,320,0,4751.6644124297,1762.80195070602,0.370986205611401,1,0.230186739703375,17,0.485092284497826,0.000765875911744794,0.000135135393421315,27.7412519,488.6433845
20280002,20284002,25,0.247087793442809,0.252718286606872,320,0,4400.47494574904,2045.34969111343,0.464802030764722,1,0.236719353468086,14,0.51874320468704,0.000743403704199477,0.000131169863451263,27.4833459,483.2654964
20280002,20284002,30,0.247087793442809,0.252754285497573,320,0,4684.28021783798,1747.13937085544,0.37297926033593,1,0.234253794494053,18,0.482568997044561,0.000743712140797599,0.00013122553683452,27.8003977,482.6413088
20280003,20284003,25,0.247118607308101,0.252189414015094,320,0,4526.97842153368,2083.72127587543,0.460289641753913,1,0.233024686112817,14,0.521253221134415,0.00077736511507603,0.000137161583197034,27.7482831,487.0835087
20280003,20284003,30,0.247118607308101,0.252132971309921,320,0,4874.46621169747,1762.46378453412,0.361570622913471,1,0.229177833881848,17,0.488126543146453,0.000784535684552846,0.000138427861363831,28.3819797,488.6144609
20280004,20284004,25,0.247125718200091,0.252100231578049,320,0,4771.38336916747,2120.01801338512,0.444319361777679,1,0.231700026650503,14,0.535903161787552,0.00078838773439254,0.000139105441885769,28.1354948,487.2418397
20280004,20284004,30,0.247125718200091,0.252249412166262,320,0,5175.7194957215,1800.80451858849,0.347933175296134,1,0.226555061312594,17,0.499538841208627,0.000811970877966846,0.000143266816469005,29.9275707,492.1125989
20280005,20284005,25,0.24709016374014,0.2520506034777,320,0,4559.74406219698,2257.99784774234,0.495202760712493,1,0.232138059775269,14,0.536725999975161,0.000886224273096121,0.000156360423481417,28.0005646,486.2347186
20280005,20284005,30,0.24709016374014,0.252058899518356,320,0,4822.2111055975,1895.4331459949,0.393063079257299,1,0.227863839792765,17,0.500578663400094,0.000834431843169395,0.000147225814034335,27.6799501,480.9224724
20280006,20284006,25,0.24711149641611,0.252327039403823,320,0,4379.30127743103,2061.24263681372,0.470678427044161,1,0.232397649594237,14,0.524854083995259,0.000779568474766939,0.000137552026315338,27.4659416,479.1543804
20280006,20284006,30,0.24711149641611,0.25204823318037,320,0,4663.04958839702,1757.24840838816,0.376845318728905,1,0.228040665903258,17,0.487298682604058,0.000797171972644796,0.000140659530949089,27.4126309,507.6334615
20280007,20284007,25,0.247128088497421,0.25206052909777,320,0,4587.85670497767,2161.95784988768,0.471234824649608,1,0.234122602351444,14,0.53236657445842,0.000853113222595474,0.000150522650415337,29.7970596,558.3990175
20280007,20284007,30,0.247128088497421,0.252254449048089,320,0,4926.20354496666,1834.56872852408,0.372410257062672,1,0.230990496475873,17,0.499055371153595,0.000809687129620773,0.000142862431983447,29.8394402,540.1539566
20280008,20284008,25,0.247123347902761,0.252205857952822,320,0,4282.51486885991,2011.46025131913,0.469691364283486,1,0.231665993921027,13,0.505537967337463,0.000750284080535432,0.000132384777632701,30.4379062,565.7469481
20280008,20284008,30,0.247123347902761,0.252078306327746,320,0,4537.17084480557,1703.80653538512,0.375521794013056,1,0.22529920425785,16,0.473550080561228,0.000729876280222961,0.000128785433118504,29.957245,540.4527102
20280009,20284009,25,0.24709964492946,0.252446739418993,320,0,4269.38477371778,2092.07414893035,0.49001770976678,1,0.233331555190471,14,0.525484321526192,0.000815050704418841,0.000143808210464916,30.0258448,542.1615614
20280009,20284009,30,0.24709964492946,0.252260226647831,320,0,4492.01878046496,1777.60723932282,0.395725691765434,1,0.227537722768432,17,0.490343814436755,0.00078980442360729,0.000139356057387658,29.8770277,555.8287048
20280010,20284010,25,0.247139939984072,0.252364075299606,320,0,4300.62006255257,2049.49437924576,0.47655787989542,1,0.232382464306642,14,0.517056099336083,0.0007821239764644,0.000137999437951357,29.4245226,551.2219802
20280010,20284010,30,0.247139939984072,0.252219931593219,320,0,4578.91922893854,1744.4483976021,0.38097383036968,1,0.226276852531607,17,0.48180512570298,0.000765297665003656,0.000135033160089066,27.4152081,539.0012485
